,Product-ID,Base-Name,Price,Price Percentage Change 24h,Base Currency ID,Quote Currency ID
418,ALEPH-USDC,Aleph Cloud,0.0764,15.93323216995448,ALEPH,USDC
417,ALEPH-USD,Aleph Cloud,0.0764,15.93323216995448,ALEPH,USD
188,PNG-USDC,Pangolin,0.1986,12.59780020410477,PNG,USDC
187,PNG-USD,Pangolin,0.1986,12.59780020410477,PNG,USD
54,ZORA-USDC,Zora,0.01118,12.24899598393574,ZORA,USDC
55,ZORA-USD,Zora,0.01118,12.24899598393574,ZORA,USD
642,MASK-GBP,Mask Network,1.384,11.97411003236246,MASK,GBP
609,MASK-EUR,Mask Network,1.63,11.64383561643836,MASK,EUR
662,MASK-USDT,Mask Network,1.86,11.37724550898204,MASK,USDT
589,QNT-USDT,Quant,105.07,11.23226762650858,QNT,USDT
155,MASK-USDC,Mask Network,1.85,10.77844311377246,MASK,USDC
156,MASK-USD,Mask Network,1.85,10.77844311377246,MASK,USD
84,QNT-USD,Quant,105.3,10.72555205047319,QNT,USD
85,QNT-USDC,Quant,105.3,10.72555205047319,QNT,USDC
146,OCEAN-USDC,Ocean Protocol,0.3977,9.01864035087719,OCEAN,USDC
145,OCEAN-USD,Ocean Protocol,0.3977,9.01864035087719,OCEAN,USD
50,TOSHI-USDC,Toshi,0.0007249,8.2424966402867,TOSHI,USDC
49,TOSHI-USD,Toshi,0.0007249,8.2424966402867,TOSHI,USD
189,ATH-USDC,Aethir,0.05313,7.63776337115073,ATH,USDC
190,ATH-USD,Aethir,0.05313,7.63776337115073,ATH,USD
111,KAITO-USDC,Kaito,2.0345,6.45701428496677,KAITO,USDC
112,KAITO-USD,Kaito,2.0345,6.45701428496677,KAITO,USD
233,SYN-USD,Synapse,0.233,5.42986425339367,SYN,USD
234,SYN-USDC,Synapse,0.233,5.42986425339367,SYN,USDC
561,INV-USD,Inverse Finance,28.56,5.19337016574586,INV,USD
562,INV-USDC,Inverse Finance,28.56,5.19337016574586,INV,USDC
255,TRAC-USD,OriginTrail,0.4791,4.92772667542707,TRAC,USD
256,TRAC-USDC,OriginTrail,0.4791,4.92772667542707,TRAC,USDC
36,UNI-USD,Uniswap,6.455,4.67001783687368,UNI,USD
37,UNI-USDC,Uniswap,6.455,4.67001783687368,UNI,USDC
224,UNI-GBP,Uniswap,4.77,4.60526315789474,UNI,GBP
257,UNI-EUR,Uniswap,5.67,4.41988950276243,UNI,EUR
699,UNI-BTC,Uniswap,0.0000591,4.41696113074205,UNI,BTC
293,RONIN-USD,Ronin,0.695,4.19790104947526,RONIN,USD
294,RONIN-USDC,Ronin,0.695,4.19790104947526,RONIN,USDC
206,SAFE-USDC,Safe,0.5628,3.95271518285925,SAFE,USDC
205,SAFE-USD,Safe,0.5628,3.95271518285925,SAFE,USD
241,HONEY-USDC,Hivemapper,0.0278,3.73134328358209,HONEY,USDC
242,HONEY-USD,Hivemapper,0.0278,3.73134328358209,HONEY,USD
150,TRB-USD,Tellor,32.94,3.45477386934673,TRB,USD
149,TRB-USDC,Tellor,32.94,3.45477386934673,TRB,USDC
81,INJ-USDC,Injective,13.485,3.27793520716857,INJ,USDC
82,INJ-USD,Injective,13.485,3.27793520716857,INJ,USD
173,PRIME-USD,Echelon Prime,3.381,3.26817348808797,PRIME,USD
174,PRIME-USDC,Echelon Prime,3.381,3.26817348808797,PRIME,USDC
409,L3-USD,Layer3,0.05143,3.16950852557673,L3,USD
408,L3-USDC,Layer3,0.05143,3.16950852557673,L3,USDC
118,FET-USDT,Artificial Superintelligence Alliance,0.8677,2.9300118623962,FET,USDT
628,INDEX-USDC,Index Cooperative,1.41,2.91970802919708,INDEX,USDC
629,INDEX-USD,Index Cooperative,1.41,2.91970802919708,INDEX,USD
475,AURORA-USD,Aurora,0.0922,2.90178571428571,AURORA,USD
476,AURORA-USDC,Aurora,0.0922,2.90178571428571,AURORA,USDC
22,FET-USDC,Artificial Superintelligence Alliance,0.8679,2.8561270443233,FET,USDC
23,FET-USD,Artificial Superintelligence Alliance,0.8679,2.8561270443233,FET,USD
184,WELL-USDC,Moonwell,0.032901,2.83490654497718,WELL,USDC
183,WELL-USD,Moonwell,0.032901,2.83490654497718,WELL,USD
614,OP-USDT,Optimism,0.763,2.83018867924528,OP,USDT
140,KEYCAT-USD,Keyboard Cat,0.005668,2.62538475466232,KEYCAT,USD
141,KEYCAT-USDC,Keyboard Cat,0.005668,2.62538475466232,KEYCAT,USDC
463,BADGER-USDC,Badger DAO,1.22,2.52100840336134,BADGER,USDC
