Product-ID,Base-Name,Price,Price Percentage Change 24h,Base Currency ID,Quote Currency ID
ZORA-USD,Zora,0.01128,12.8,ZORA,USD
ZORA-USDC,Zora,0.01128,12.8,ZORA,USDC
MASK-USDT,Mask Network,1.87,11.97604790419162,MASK,USDT
MASK-EUR,Mask Network,1.63,11.64383561643836,MASK,EUR
QNT-USDC,Quant,105.44,11.32932108541865,QNT,USDC
QNT-USD,Quant,105.44,11.32932108541865,QNT,USD
QNT-USDT,Quant,105.08,11.24285411814525,QNT,USDT
MASK-GBP,Mask Network,1.369,10.76051779935275,MASK,GBP
PNG-USDC,Pangolin,0.19551,10.14647887323944,PNG,USDC
PNG-USD,Pangolin,0.19551,10.14647887323944,PNG,USD
MASK-USD,Mask Network,1.85,10.11904761904762,MASK,USD
MASK-USDC,Mask Network,1.85,10.11904761904762,MASK,USDC
OCEAN-USD,Ocean Protocol,0.3953,8.68847951608469,OCEAN,USD
OCEAN-USDC,Ocean Protocol,0.3953,8.68847951608469,OCEAN,USDC
ALEPH-USDC,Aleph Cloud,0.0713,8.19423368740516,ALEPH,USDC
ALEPH-USD,Aleph Cloud,0.0713,8.19423368740516,ALEPH,USD
TOSHI-USD,Toshi,0.0007242,8.07342187733174,TOSHI,USD
TOSHI-USDC,Toshi,0.0007242,8.07342187733174,TOSHI,USDC
ATH-USD,Aethir,0.05309,7.46963562753036,ATH,USD
ATH-USDC,Aethir,0.05309,7.46963562753036,ATH,USDC
KAITO-USDC,Kaito,2.0304,6.44856873230576,KAITO,USDC
KAITO-USD,Kaito,2.0304,6.44856873230576,KAITO,USD
UNI-GBP,Uniswap,4.77,5.53097345132743,UNI,GBP
INV-USDC,Inverse Finance,28.78,4.88338192419825,INV,USDC
INV-USD,Inverse Finance,28.78,4.88338192419825,INV,USD
UNI-EUR,Uniswap,5.67,4.80591497227357,UNI,EUR
TRAC-USDC,OriginTrail,0.479,4.74524382243604,TRAC,USDC
TRAC-USD,OriginTrail,0.479,4.74524382243604,TRAC,USD
UNI-USD,Uniswap,6.457,4.58373825720764,UNI,USD
UNI-USDC,Uniswap,6.457,4.58373825720764,UNI,USDC
SYN-USDC,Synapse,0.231,4.52488687782805,SYN,USDC
SYN-USD,Synapse,0.231,4.52488687782805,SYN,USD
WCFG-USDC,Wrapped Centrifuge,0.238,4.3859649122807,WCFG,USDC
WCFG-USD,Wrapped Centrifuge,0.238,4.3859649122807,WCFG,USD
SAFE-USD,Safe,0.5664,4.21343146274149,SAFE,USD
SAFE-USDC,Safe,0.5664,4.21343146274149,SAFE,USDC
DOGINME-USD,doginme,0.000783,4.08081882227835,DOGINME,USD
DOGINME-USDC,doginme,0.000783,4.08081882227835,DOGINME,USDC
UNI-BTC,Uniswap,0.0000591,4.04929577464789,UNI,BTC
TRB-USDC,Tellor,33.02,3.60840916222152,TRB,USDC
TRB-USD,Tellor,33.02,3.60840916222152,TRB,USD
BADGER-USDC,Badger DAO,1.23,3.36134453781513,BADGER,USDC
BADGER-USD,Badger DAO,1.23,3.36134453781513,BADGER,USD
ROSE-USDT,Oasis Network,0.0331,3.11526479750779,ROSE,USDT
FET-USDT,Artificial Superintelligence Alliance,0.8673,3.11496849363928,FET,USDT
FET-USD,Artificial Superintelligence Alliance,0.8675,3.07747148288973,FET,USD
FET-USDC,Artificial Superintelligence Alliance,0.8675,3.07747148288973,FET,USDC
L3-USD,Layer3,0.05118,3.04006442520636,L3,USD
L3-USDC,Layer3,0.05118,3.04006442520636,L3,USDC
HONEY-USDC,Hivemapper,0.0276,2.98507462686567,HONEY,USDC
HONEY-USD,Hivemapper,0.0276,2.98507462686567,HONEY,USD
KARRAT-USDC,Karrat,0.0623,2.97520661157025,KARRAT,USDC
KARRAT-USD,Karrat,0.0623,2.97520661157025,KARRAT,USD
AST-USDC,AirSwap,0.045,2.97482837528604,AST,USDC
AST-USD,AirSwap,0.045,2.97482837528604,AST,USD
INJ-USD,Injective,13.463,2.8337916284754,INJ,USD
INJ-USDC,Injective,13.463,2.8337916284754,INJ,USDC
OP-USDT,Optimism,0.763,2.83018867924528,OP,USDT
PRIME-USDC,Echelon Prime,3.393,2.78703423205089,PRIME,USDC
PRIME-USD,Echelon Prime,3.393,2.78703423205089,PRIME,USD
EOS-EUR,EOS,0.6834,2.72057718322561,EOS,EUR
AURORA-USD,Aurora,0.092,2.67857142857143,AURORA,USD
AURORA-USDC,Aurora,0.092,2.67857142857143,AURORA,USDC
CLANKER-USDC,tokenbot,31.21,2.63071358105886,CLANKER,USDC
CLANKER-USD,tokenbot,31.21,2.63071358105886,CLANKER,USD
WELL-USD,Moonwell,0.032861,2.61366475143642,WELL,USD
WELL-USDC,Moonwell,0.032861,2.61366475143642,WELL,USDC
ROSE-USD,Oasis Network,0.0331,2.22359481161211,ROSE,USD
ROSE-USDC,Oasis Network,0.0331,2.22359481161211,ROSE,USDC
KEYCAT-USD,Keyboard Cat,0.005631,2.08484408992023,KEYCAT,USD
KEYCAT-USDC,Keyboard Cat,0.005631,2.08484408992023,KEYCAT,USDC
DNT-USDC,district0x,0.0303,2.02020202020202,DNT,USDC
DNT-USD,district0x,0.0303,2.02020202020202,DNT,USD
MATH-USDC,MATH,0.1334,1.98776758409786,MATH,USDC
MATH-USD,MATH,0.1334,1.98776758409786,MATH,USD
VELO-USD,Velodrome Finance,0.05874,1.97916666666667,VELO,USD
VELO-USDC,Velodrome Finance,0.05874,1.97916666666667,VELO,USDC
HFT-USDC,Hashflow,0.0725,1.9690576652602,HFT,USDC
HFT-USD,Hashflow,0.0725,1.9690576652602,HFT,USD
OP-USD,Optimism,0.758,1.88172043010753,OP,USD
OP-USDC,Optimism,0.758,1.88172043010753,OP,USDC
SEAM-USD,Seamless,0.4774,1.87793427230047,SEAM,USD
