Product-ID,Base-Name,Price,Price Percentage Change 24h,Volume 24h,Base Currency ID,Quote Currency ID
A8-USD,Ancient8,0.1616,25.36850271528317,22412060.43,A8,USD
A8-USDC,Ancient8,0.1616,25.36850271528317,22412060.43,A8,USDC
TRB-USDC,Tellor,57.42,16.11729019211325,461742.616,TRB,USDC
TRB-USD,Tellor,57.42,16.11729019211325,461742.616,TRB,USD
FIS-USDC,StaFi,0.1807,13.79093198992443,5586512.6,FIS,USDC
FIS-USD,StaFi,0.1807,13.79093198992443,5586512.6,FIS,USD
EIGEN-USD,EigenLayer,1.688,11.93633952254642,1381278.51,EIGEN,USD
EIGEN-USDC,EigenLayer,1.688,11.93633952254642,1381278.51,EIGEN,USDC
LCX-USDC,LCX,0.1516,11.79941002949853,7051503.3,LCX,USDC
LCX-USD,LCX,0.1516,11.79941002949853,7051503.3,LCX,USD
MASK-EUR,Mask Network,2.08,8.90052356020942,54554.66,MASK,EUR
ENS-USDT,Ethereum Name Service,24.98,8.42013888888889,2044.031,ENS,USDT
LDO-USDC,Lido DAO Token,0.97,8.01781737193764,3419342.54,LDO,USDC
LDO-USD,Lido DAO Token,0.97,8.01781737193764,3419342.54,LDO,USD
MASK-GBP,Mask Network,1.745,7.71604938271605,35881.04,MASK,GBP
ENS-USD,Ethereum Name Service,24.6,7.00304480208786,181293.162,ENS,USD
ENS-USDC,Ethereum Name Service,24.6,7.00304480208786,181293.162,ENS,USDC
ENS-EUR,Ethereum Name Service,21.77,6.97788697788698,2804.575,ENS,EUR
MASK-USD,Mask Network,2.33,6.88073394495413,1992411.6,MASK,USD
MASK-USDC,Mask Network,2.33,6.88073394495413,1992411.6,MASK,USDC
MASK-USDT,Mask Network,2.34,6.84931506849315,19729.71,MASK,USDT
UNI-BTC,Uniswap,0.0000663,6.59163987138264,14755.734905,UNI,BTC
DRIFT-USDC,Drift Protocol,0.718,6.52818991097923,2232510.97,DRIFT,USDC
DRIFT-USD,Drift Protocol,0.718,6.52818991097923,2232510.97,DRIFT,USD
MKR-BTC,Maker,0.01617,6.31163708086785,3.504907,MKR,BTC
UNI-GBP,Uniswap,5.31,5.77689243027888,47162.283,UNI,GBP
DEXT-USDC,DEXTools,0.335,5.6782334384858,591928.5,DEXT,USDC
DEXT-USD,DEXTools,0.335,5.6782334384858,591928.5,DEXT,USD
ETHFI-USD,ether.fi,1.462,5.63583815028902,1316928.55,ETHFI,USD
ETHFI-USDC,ether.fi,1.462,5.63583815028902,1316928.55,ETHFI,USDC
RONIN-USDC,Ronin,0.708,5.51415797317437,339888.17,RONIN,USDC
RONIN-USD,Ronin,0.708,5.51415797317437,339888.17,RONIN,USD
UNI-EUR,Uniswap,6.32,5.50918196994992,238730.529,UNI,EUR
ARB-USD,Arbitrum,0.4248,5.27881040892193,21380676.68,ARB,USD
ARB-USDC,Arbitrum,0.4248,5.27881040892193,21380676.68,ARB,USDC
MKR-USD,Maker,1749.08,5.21921170412436,1186.410978,MKR,USD
MKR-USDC,Maker,1749.08,5.21921170412436,1186.410978,MKR,USDC
UNI-USDC,Uniswap,7.129,5.17851873709059,4549980.191909,UNI,USDC
UNI-USD,Uniswap,7.129,5.17851873709059,4549980.191909,UNI,USD
DIMO-USDC,DIMO,0.06921,5.02276176024279,3479735.0,DIMO,USDC
DIMO-USD,DIMO,0.06921,5.02276176024279,3479735.0,DIMO,USD
SHPING-USDC,SHPING,0.006717,4.85482360287231,57915548.0,SHPING,USDC
SHPING-USD,SHPING,0.006717,4.85482360287231,57915548.0,SHPING,USD
APE-EUR,ApeCoin,0.643,4.72312703583062,182740.9,APE,EUR
PEPE-USDC,Pepe,0.00001443,4.71698113207547,2947671271985.0,PEPE,USDC
PEPE-USD,Pepe,0.00001443,4.71698113207547,2947671271985.0,PEPE,USD
