Product-ID,Base-Name,Price,Price Percentage Change 24h,Base Currency ID,Quote Currency ID
TRB-USDC,Tellor,49.65,31.27974616604971,TRB,USDC
TRB-USD,Tellor,49.65,31.27974616604971,TRB,USD
MASK-GBP,Mask Network,1.581,19.23076923076923,MASK,GBP
MASK-USDT,Mask Network,2.13,18.99441340782123,MASK,USDT
MASK-EUR,Mask Network,1.87,18.35443037974684,MASK,EUR
MASK-USDC,Mask Network,2.14,18.23204419889503,MASK,USDC
MASK-USD,Mask Network,2.14,18.23204419889503,MASK,USD
ETHFI-USDC,ether.fi,1.412,13.96287328490718,ETHFI,USDC
ETHFI-USD,ether.fi,1.412,13.96287328490718,ETHFI,USD
PRCL-USDC,Parcl,0.1196,11.88026192703461,PRCL,USDC
PRCL-USD,Parcl,0.1196,11.88026192703461,PRCL,USD
KAITO-USDC,Kaito,2.2961,11.78675754625122,KAITO,USDC
KAITO-USD,Kaito,2.2961,11.78675754625122,KAITO,USD
COW-USDC,CoW Protocol,0.4491,10.28978388998035,COW,USDC
COW-USD,CoW Protocol,0.4491,10.28978388998035,COW,USD
SAFE-USD,Safe,0.6124,9.61159835332021,SAFE,USD
SAFE-USDC,Safe,0.6124,9.61159835332021,SAFE,USDC
QNT-USDT,Quant,116.39,9.41994923380652,QNT,USDT
DRIFT-USDC,Drift Protocol,0.682,9.29487179487179,DRIFT,USDC
DRIFT-USD,Drift Protocol,0.682,9.29487179487179,DRIFT,USD
ELA-USDC,Elastos,1.59,9.1283459162663,ELA,USDC
ELA-USD,Elastos,1.59,9.1283459162663,ELA,USD
QNT-USD,Quant,115.8,8.75281743050338,QNT,USD
QNT-USDC,Quant,115.8,8.75281743050338,QNT,USDC
SWELL-USDC,SWELL,0.01113,8.37390457643622,SWELL,USDC
SWELL-USD,SWELL,0.01113,8.37390457643622,SWELL,USD
BICO-USDC,BICONOMY (BICO),0.121,7.93933987511151,BICO,USDC
BICO-USD,BICONOMY (BICO),0.121,7.93933987511151,BICO,USD
B3-USD,B3 (Base),0.004893,7.82282944028206,B3,USD
B3-USDC,B3 (Base),0.004893,7.82282944028206,B3,USDC
CLANKER-USDC,tokenbot,33.04,7.13359273670558,CLANKER,USDC
CLANKER-USD,tokenbot,33.04,7.13359273670558,CLANKER,USD
SUI-USD,SUI,3.699,6.69166426305163,SUI,USD
SUI-USDC,SUI,3.699,6.69166426305163,SUI,USDC
00-USDC,00 Token,0.0196,6.52173913043478,00,USDC
00-USD,00 Token,0.0196,6.52173913043478,00,USD
ORCA-USDC,Orca,2.9927,5.97754878005595,ORCA,USDC
ORCA-USD,Orca,2.9927,5.97754878005595,ORCA,USD
ACS-USDC,Access,0.0014691,5.92688730261735,ACS,USDC
ACS-USD,Access,0.0014691,5.92688730261735,ACS,USD
INJ-USDC,Injective,14.928,5.49077803688785,INJ,USDC
INJ-USD,Injective,14.928,5.49077803688785,INJ,USD
FAI-USDC,Freysa,0.0208,5.1567239635996,FAI,USDC
FAI-USD,Freysa,0.0208,5.1567239635996,FAI,USD
AGLD-USDC,Adventure Gold,0.9317,4.98028169014085,AGLD,USDC
AGLD-USD,Adventure Gold,0.9317,4.98028169014085,AGLD,USD
RED-USDC,Redstone,0.4405,4.88095238095238,RED,USDC
RED-USD,Redstone,0.4405,4.88095238095238,RED,USD
EOS-EUR,EOS,0.6972,4.8578733644157,EOS,EUR
PRO-USDC,Propy,1.116,4.6119235095613,PRO,USDC
PRO-USD,Propy,1.116,4.6119235095613,PRO,USD
ENS-EUR,Ethereum Name Service,20.45,4.33673469387755,ENS,EUR
SYRUP-USD,Maple Finance,0.4463,4.2513431441252,SYRUP,USD
SYRUP-USDC,Maple Finance,0.4463,4.2513431441252,SYRUP,USDC
PERP-USD,Perpetual Protocol,0.2829,4.16053019145803,PERP,USD
PERP-USDC,Perpetual Protocol,0.2829,4.16053019145803,PERP,USDC
GNO-USDC,Gnosis,138.35,4.01473573415533,GNO,USDC
GNO-USD,Gnosis,138.35,4.01473573415533,GNO,USD
EIGEN-USD,EigenLayer,1.546,3.75838926174497,EIGEN,USD
EIGEN-USDC,EigenLayer,1.546,3.75838926174497,EIGEN,USDC
DEXT-USDC,DEXTools,0.319,3.73983739837398,DEXT,USDC
DEXT-USD,DEXTools,0.319,3.73983739837398,DEXT,USD
XTZ-EUR,Tezos,0.56,3.7037037037037,XTZ,EUR
PYTH-USD,Pyth Network,0.1406,3.68731563421829,PYTH,USD
PYTH-USDC,Pyth Network,0.1406,3.68731563421829,PYTH,USDC
KAVA-USDC,Kava,0.437,3.65275142314991,KAVA,USDC
KAVA-USD,Kava,0.437,3.65275142314991,KAVA,USD
POND-USD,Marlin,0.01081,3.64333652924257,POND,USD
POND-USDC,Marlin,0.01081,3.64333652924257,POND,USDC
RPL-USDC,Rocket Pool,4.94,3.56394129979036,RPL,USDC
RPL-USD,Rocket Pool,4.94,3.56394129979036,RPL,USD
1INCH-EUR,1inch,0.211,3.43137254901961,1INCH,EUR
ENS-USD,Ethereum Name Service,22.91,3.43115124153499,ENS,USD
ENS-USDC,Ethereum Name Service,22.91,3.43115124153499,ENS,USDC
GST-USD,Green Satoshi Token,0.009217,3.32959641255605,GST,USD
GST-USDC,Green Satoshi Token,0.009217,3.32959641255605,GST,USDC
TNSR-USD,Tensor,0.157,3.28947368421053,TNSR,USD
TNSR-USDC,Tensor,0.157,3.28947368421053,TNSR,USDC
BERA-USDC,Berachain,2.879,3.26398852223816,BERA,USDC
BERA-USD,Berachain,2.879,3.26398852223816,BERA,USD
ALEPH-USD,Aleph Cloud,0.0697,3.25925925925926,ALEPH,USD
ALEPH-USDC,Aleph Cloud,0.0697,3.25925925925926,ALEPH,USDC
CVX-USD,Convex Finance,3.314,3.17559153175592,CVX,USD
CVX-USDC,Convex Finance,3.314,3.17559153175592,CVX,USDC
APE-EUR,ApeCoin,0.62,3.16139767054908,APE,EUR
IOTX-USD,IoTeX,0.02762,3.13666915608663,IOTX,USD
IOTX-USDC,IoTeX,0.02762,3.13666915608663,IOTX,USDC
NKN-USDC,NKN,0.0369,3.07262569832402,NKN,USDC
NKN-USD,NKN,0.0369,3.07262569832402,NKN,USD
G-USDC,Gravity,0.01503,3.01576422206991,G,USDC
G-USD,Gravity,0.01503,3.01576422206991,G,USD
ALCX-USD,Alchemix,10.03,2.97741273100616,ALCX,USD
ALCX-USDC,Alchemix,10.03,2.97741273100616,ALCX,USDC
APE-USDC,ApeCoin,0.701,2.93685756240822,APE,USDC
APE-USD,ApeCoin,0.701,2.93685756240822,APE,USD
AST-USDC,AirSwap,0.046,2.9082774049217,AST,USDC
AST-USD,AirSwap,0.046,2.9082774049217,AST,USD
API3-USD,Api3,0.815,2.9040404040404,API3,USD
API3-USDC,Api3,0.815,2.9040404040404,API3,USDC
INDEX-USDC,Index Cooperative,1.42,2.89855072463768,INDEX,USDC
INDEX-USD,Index Cooperative,1.42,2.89855072463768,INDEX,USD
ENS-USDT,Ethereum Name Service,22.94,2.77777777777778,ENS,USDT
IP-USD,Story,4.389,2.762819011941,IP,USD
IP-USDC,Story,4.389,2.762819011941,IP,USDC
METIS-USD,Metis,19.86,2.74185204345577,METIS,USD
METIS-USDC,Metis,19.86,2.74185204345577,METIS,USDC
CORECHAIN-USD,Core,0.825,2.73972602739726,CORECHAIN,USD
CORECHAIN-USDC,Core,0.825,2.73972602739726,CORECHAIN,USDC
FORTH-USDC,Ampleforth Governance Token,2.5423,2.72749313075804,FORTH,USDC
FORTH-USD,Ampleforth Governance Token,2.5423,2.72749313075804,FORTH,USD
CVC-USD,Civic,0.1439,2.7123483226267,CVC,USD
CVC-USDC,Civic,0.1439,2.7123483226267,CVC,USDC
XTZ-BTC,Tezos,0.00000577,2.66903914590747,XTZ,BTC
APE-USDT,ApeCoin,0.701,2.63543191800878,APE,USDT
BAT-EUR,Basic Attention Token,0.12902,2.62488068724149,BAT,EUR
XTZ-USD,Tezos,0.629,2.61011419249592,XTZ,USD
XTZ-USDC,Tezos,0.629,2.61011419249592,XTZ,USDC
POLS-USDC,Polkastarter,0.2327,2.51101321585903,POLS,USDC
POLS-USD,Polkastarter,0.2327,2.51101321585903,POLS,USD
UMA-USDC,UMA,1.238,2.48344370860927,UMA,USDC
UMA-USD,UMA,1.238,2.48344370860927,UMA,USD
SEAM-USD,Seamless,0.4884,2.43288590604027,SEAM,USD
SEAM-USDC,Seamless,0.4884,2.43288590604027,SEAM,USDC
ACX-USDC,Across Protocol,0.2311,2.34720992028344,ACX,USDC
ACX-USD,Across Protocol,0.2311,2.34720992028344,ACX,USD
MINA-EUR,Mina,0.223,2.29357798165138,MINA,EUR
BAT-BTC,Basic Attention Token,0.00000134,2.29007633587786,BAT,BTC
REZ-USDC,Renzo,0.0139,2.28108903605592,REZ,USDC
REZ-USD,Renzo,0.0139,2.28108903605592,REZ,USD
MKR-BTC,Maker,0.01549,2.24422442244224,MKR,BTC
RARE-USD,SuperRare,0.0642,2.22929936305732,RARE,USD
RARE-USDC,SuperRare,0.0642,2.22929936305732,RARE,USDC
MANA-EUR,Decentraland,0.278,2.20588235294118,MANA,EUR
CELR-USDC,Celer Network,0.00985,2.17842323651452,CELR,USDC
CELR-USD,Celer Network,0.00985,2.17842323651452,CELR,USD
ETH-EUR,Ethereum,2326.74,2.11673418154847,ETH,EUR
