,Product-ID,Base-Name,Price,Price Percentage Change 24h
0,BTC-USD,Bitcoin,109122.49,1.27956271096334
1,BTC-USDC,Bitcoin,109122.49,1.27956271096334
2,ETH-USDC,Ethereum,2543.38,0.78020676073527
3,ETH-USD,Ethereum,2543.38,0.78020676073527
4,SOL-USD,Solana,174.36,1.16036203295428
5,SOL-USDC,Solana,174.36,1.16036203295428
6,XRP-USDC,XRP,2.3142,0.26428664269312
7,XRP-USD,XRP,2.3142,0.26428664269312
8,MOODENG-USD,Moo Deng,0.2512,1.12721417069243
9,MOODENG-USDC,Moo Deng,0.2512,1.12721417069243
10,USDT-USD,Tether,1.00037,0.00399868043546
11,PEPE-USD,Pepe,0.00001369,4.42410373760488
12,PEPE-USDC,Pepe,0.00001369,4.42410373760488
13,SUI-USDC,SUI,3.4755,-1.83312620042933
14,SUI-USD,SUI,3.4755,-1.83312620042933
15,DOGE-USDC,Dogecoin,0.22444,1.96256587316009
16,DOGE-USD,Dogecoin,0.22444,1.96256587316009
17,USDC-EUR,USDC,0.8782,-0.23855503805521
18,TRUMP-USD,OFFICIAL TRUMP,12.74,1.11111111111111
19,TRUMP-USDC,OFFICIAL TRUMP,12.74,1.11111111111111
20,BONK-USD,Bonk,0.00002007,1.72326406487582
21,BONK-USDC,Bonk,0.00002007,1.72326406487582
22,FET-USD,Artificial Superintelligence Alliance,0.8748,7.86683107274969
23,FET-USDC,Artificial Superintelligence Alliance,0.8748,7.86683107274969
24,BTC-EUR,Bitcoin,95834.19,1.04309278930953
25,BTC-USDT,Bitcoin,109077.54,1.27412556714975
26,ADA-USD,Cardano,0.7554,0.78719146097398
27,ADA-USDC,Cardano,0.7554,0.78719146097398
28,WIF-USD,dogwifhat,1.115,5.78747628083491
29,WIF-USDC,dogwifhat,1.115,5.78747628083491
30,LINK-USDC,Chainlink,15.52,2.65908188913877
31,LINK-USD,Chainlink,15.52,2.65908188913877
32,XLM-USD,Stellar Lumens,0.28452,0.28620976496962
33,XLM-USDC,Stellar Lumens,0.28452,0.28620976496962
34,COOKIE-USD,Cookie DAO,0.26138,-8.31988775868116
35,COOKIE-USDC,Cookie DAO,0.26138,-8.31988775868116
36,AAVE-USD,Aave,267.28,0.90988031864688
37,AAVE-USDC,Aave,267.28,0.90988031864688
38,AERGO-USDC,Aergo,0.1606,-3.83233532934132
39,AERGO-USD,Aergo,0.1606,-3.83233532934132
40,ONDO-USDC,Ondo Finance,0.93357,0.84689920387154
41,ONDO-USD,Ondo Finance,0.93357,0.84689920387154
42,UNI-USDC,Uniswap,6.413,5.84254827529295
43,UNI-USD,Uniswap,6.413,5.84254827529295
44,ETH-USDT,Ethereum,2542.19,0.72946136351029
45,HBAR-USDC,Hedera,0.18565,0.25380710659898
46,HBAR-USD,Hedera,0.18565,0.25380710659898
47,LTC-USDC,Litecoin,94.91,0.26410310585252
48,LTC-USD,Litecoin,94.91,0.26410310585252
49,SYRUP-USDC,Maple Finance,0.4198,-6.71111111111111
50,SYRUP-USD,Maple Finance,0.4198,-6.71111111111111
51,BTC-GBP,Bitcoin,80463.38,1.0862229512118
52,TAO-USD,Bittensor,429.83,1.70121143289797
53,TAO-USDC,Bittensor,429.83,1.70121143289797
54,ZORA-USD,Zora,0.01132,17.30569948186528
55,ZORA-USDC,Zora,0.01132,17.30569948186528
56,TOSHI-USD,Toshi,0.0007087,10.8036272670419
57,TOSHI-USDC,Toshi,0.0007087,10.8036272670419
58,CRV-USD,Curve DAO Token,0.7498,0.56330472103004
59,CRV-USDC,Curve DAO Token,0.7498,0.56330472103004
60,ETH-EUR,Ethereum,2233.88,0.56226056658219
61,SHIB-USDC,SHIBA INU,0.00001429,1.06082036775106
62,SHIB-USD,SHIBA INU,0.00001429,1.06082036775106
63,POPCAT-USDC,Popcat (SOL),0.4617,0.32594524119948
64,POPCAT-USD,Popcat (SOL),0.4617,0.32594524119948
65,AVAX-USD,Avalanche,23.03,2.49221183800623
66,AVAX-USDC,Avalanche,23.03,2.49221183800623
67,DEGEN-USD,Degen,0.005477,2.81584381452975
68,DEGEN-USDC,Degen,0.005477,2.81584381452975
69,AERO-USD,Aerodrome Finance,0.58909,2.40413030629628
70,AERO-USDC,Aerodrome Finance,0.58909,2.40413030629628
71,XCN-USDC,Onyxcoin,0.01847,-2.53298153034301
72,XCN-USD,Onyxcoin,0.01847,-2.53298153034301
73,PNUT-USDC,Peanut the Squirrel,0.3142,-0.53814498258943
74,PNUT-USD,Peanut the Squirrel,0.3142,-0.53814498258943
75,RENDER-USDC,Render,4.705,2.55013077593723
76,RENDER-USD,Render,4.705,2.55013077593723
77,ARB-USDC,Arbitrum,0.3912,1.79547228727557
78,ARB-USD,Arbitrum,0.3912,1.79547228727557
79,BCH-USD,Bitcoin Cash,415.1,-0.12751726295022
80,BCH-USDC,Bitcoin Cash,415.1,-0.12751726295022
81,USDT-EUR,Tether,0.87851,-0.2441350805078
82,ETH-GBP,Ethereum,1875.06,0.56583230982939
83,INJ-USDC,Injective,13.464,7.49700598802395
84,INJ-USD,Injective,13.464,7.49700598802395
85,VOXEL-USDC,Voxies,0.0728,5.05050505050505
86,VOXEL-USD,Voxies,0.0728,5.05050505050505
87,TIA-USDC,Celestia,2.598,4.21179302045728
88,TIA-USD,Celestia,2.598,4.21179302045728
89,EURC-USDC,EURC,1.1385,0.22889338850251
90,DOT-USDC,Polkadot,4.454,0.17993702204229
91,DOT-USD,Polkadot,4.454,0.17993702204229
92,SOL-EUR,Solana,153.11,0.89621087314662
93,XRP-EUR,XRP,2.0329,0.08369436786136
94,ICP-USDC,Internet Computer,5.255,2.61667643038469
95,ICP-USD,Internet Computer,5.255,2.61667643038469
96,JASMY-USDC,Jasmy,0.01721,0.34985422740525
97,JASMY-USD,Jasmy,0.01721,0.34985422740525
98,NEAR-USDC,NEAR Protocol,2.759,2.56505576208178
99,NEAR-USD,NEAR Protocol,2.759,2.56505576208178
100,WLD-USDC,Worldcoin,1.347,-0.8100147275405
101,WLD-USD,Worldcoin,1.347,-0.8100147275405
102,ALGO-USDC,Algorand,0.2173,0.64844835572024
103,ALGO-USD,Algorand,0.2173,0.64844835572024
104,AAVE-EUR,Aave,234.58,0.60470901059313
105,RNDR-USDC,Render (ERC-20),4.7017,2.52066025599093
106,RNDR-USD,Render (ERC-20),4.7017,2.52066025599093
107,SOL-USDT,Solana,174.17,0.96811594202899
108,IMX-USD,Immutable,0.626,1.49156939040208
109,IMX-USDC,Immutable,0.626,1.49156939040208
110,SXT-USD,Space and Time,0.1206,-1.71149144254279
111,SXT-USDC,Space and Time,0.1206,-1.71149144254279
112,PENGU-USD,Pudgy Penguins,0.01236,-0.32258064516129
113,PENGU-USDC,Pudgy Penguins,0.01236,-0.32258064516129
114,USDC-GBP,USDC,0.7372,-0.20305942872614
115,FET-USDT,Artificial Superintelligence Alliance,0.8744,7.88402220851326
116,MOG-USDC,Mog Coin,0.00000115,1.76991150442478
117,MOG-USD,Mog Coin,0.00000115,1.76991150442478
118,STX-USD,Stacks,0.8793,2.04247417894859
119,STX-USDC,Stacks,0.8793,2.04247417894859
120,VET-USDC,vechain,0.02742,2.58136924803591
121,VET-USD,vechain,0.02742,2.58136924803591
122,SEI-USD,Sei,0.2193,1.62187210379981
123,SEI-USDC,Sei,0.2193,1.62187210379981
124,ATOM-USDC,Cosmos,4.768,0.86735773217686
125,ATOM-USD,Cosmos,4.768,0.86735773217686
126,QNT-USD,Quant,100.06,7.0847602739726
127,QNT-USDC,Quant,100.06,7.0847602739726
128,KAITO-USD,Kaito,2.0055,7.78201752028806
129,KAITO-USDC,Kaito,2.0055,7.78201752028806
130,TURBO-USD,Turbo,0.005184,3.47305389221557
131,TURBO-USDC,Turbo,0.005184,3.47305389221557
132,APT-USD,Aptos,5.29,2.91828793774319
133,APT-USDC,Aptos,5.29,2.91828793774319
134,DOGINME-USDC,doginme,0.0007673,6.30368523136603
135,DOGINME-USD,doginme,0.0007673,6.30368523136603
136,XRP-USDT,XRP,2.3087,0.05200433369447
137,GRT-USDC,The Graph,0.1085,2.8436018957346
138,GRT-USD,The Graph,0.1085,2.8436018957346
139,SUSHI-USDC,SushiSwap,0.7186,1.14004222378607
140,SUSHI-USD,SushiSwap,0.7186,1.14004222378607
141,TRB-USD,Tellor,32.9,0.85836909871245
142,TRB-USDC,Tellor,32.9,0.85836909871245
143,KEYCAT-USD,Keyboard Cat,0.005589,12.04891740176423
144,KEYCAT-USDC,Keyboard Cat,0.005589,12.04891740176423
145,USDT-GBP,Tether,0.7374,-0.21650879566982
146,OP-USD,Optimism,0.756,3.98899587345254
147,OP-USDC,Optimism,0.756,3.98899587345254
148,ZEC-USDC,Zcash,54.93,5.63461538461538
149,ZEC-USD,Zcash,54.93,5.63461538461538
150,KERNEL-USD,KernelDAO,0.1765,1.37851809304997
151,KERNEL-USDC,KernelDAO,0.1765,1.37851809304997
152,AIOZ-USD,AIOZ Network,0.4301,3.43915343915344
153,AIOZ-USDC,AIOZ Network,0.4301,3.43915343915344
154,SUPER-USD,SuperVerse,0.81609,6.84743188572775
155,SUPER-USDC,SuperVerse,0.81609,6.84743188572775
156,HBAR-USDT,Hedera,0.18554,0.2052279109959
157,OCEAN-USDC,Ocean Protocol,0.4059,15.54227156276687
158,OCEAN-USD,Ocean Protocol,0.4059,15.54227156276687
159,ACH-USDC,Alchemy Pay,0.023546,0.93017274636718
160,ACH-USD,Alchemy Pay,0.023546,0.93017274636718
161,SWFTC-USD,SwftCoin,0.014158,0.64690410179854
162,SWFTC-USDC,SwftCoin,0.014158,0.64690410179854
163,ADA-EUR,Cardano,0.6635,0.42379294687453
164,BCH-EUR,Bitcoin Cash,364.37,-0.38003062117235
165,B3-USDC,B3 (Base),0.004538,-0.26373626373626
166,B3-USD,B3 (Base),0.004538,-0.26373626373626
167,PRIME-USD,Echelon Prime,3.29,2.68414481897628
168,PRIME-USDC,Echelon Prime,3.29,2.68414481897628
169,GODS-USD,Gods Unchained,0.16391,-0.23737066342057
170,GODS-USDC,Gods Unchained,0.16391,-0.23737066342057
171,CBETH-USD,Coinbase Wrapped Staked ETH,2796.13,0.77633091736076
172,CBETH-USDC,Coinbase Wrapped Staked ETH,2796.13,0.77633091736076
173,PYTH-USDC,Pyth Network,0.1334,1.83206106870229
174,PYTH-USD,Pyth Network,0.1334,1.83206106870229
175,MKR-USDC,Maker,1618.26,-0.29880907640271
176,MKR-USD,Maker,1618.26,-0.29880907640271
177,AAVE-GBP,Aave,196.79,0.31605240352755
178,MATIC-USDC,Polygon,0.2298,-0.39011703511053
179,MATIC-USD,Polygon,0.2298,-0.39011703511053
180,IO-USD,io.net,0.971,4.52099031216362
181,IO-USDC,io.net,0.971,4.52099031216362
182,FIL-USDC,Filecoin,2.786,0.32409074540871
183,FIL-USD,Filecoin,2.786,0.32409074540871
184,ETH-DAI,Ethereum,2543.64,0.78252221768778
185,ATH-USDC,Aethir,0.05258,11.61112290384207
186,ATH-USD,Aethir,0.05258,11.61112290384207
187,GIGA-USDC,Gigachad,0.0233,1.34841235319704
188,GIGA-USD,Gigachad,0.0233,1.34841235319704
189,LDO-USDC,Lido DAO Token,0.887,3.74269005847953
190,LDO-USD,Lido DAO Token,0.887,3.74269005847953
191,DOGE-USDT,Dogecoin,0.2241,1.63265306122449
192,PROMPT-USDC,Wayfinder,0.21901,1.10798208762292
193,PROMPT-USD,Wayfinder,0.21901,1.10798208762292
194,BERA-USDC,Berachain,2.819,-2.21990981616372
195,BERA-USD,Berachain,2.819,-2.21990981616372
196,WELL-USD,Moonwell,0.031932,0.00313175284207
197,WELL-USDC,Moonwell,0.031932,0.00313175284207
198,PRO-USDC,Propy,1.0735,-0.2045179882867
199,PRO-USD,Propy,1.0735,-0.2045179882867
200,MASK-USD,Mask Network,1.89,14.54545454545455
201,MASK-USDC,Mask Network,1.89,14.54545454545455
202,POL-USD,Polygon Ecosystem Token,0.2299,-0.17368649587495
203,POL-USDC,Polygon Ecosystem Token,0.2299,-0.17368649587495
204,IP-USDC,Story,4.242,1.33779264214047
205,IP-USD,Story,4.242,1.33779264214047
206,USDT-USDC,Tether,1.0004,0.0
207,FLR-USD,Flare,0.01845,-1.33689839572193
208,FLR-USDC,Flare,0.01845,-1.33689839572193
209,SHIB-EUR,SHIBA INU,0.00001256,0.88353413654618
210,SAFE-USD,Safe,0.5626,5.25724976613658
211,SAFE-USDC,Safe,0.5626,5.25724976613658
212,XYO-USD,XYO,0.01243,-0.08038585209003
213,XYO-USDC,XYO,0.01243,-0.08038585209003
214,SOL-GBP,Solana,128.51,0.91880006282394
215,ETC-USDC,Ethereum Classic,18.17,0.38674033149171
216,ETC-USD,Ethereum Classic,18.17,0.38674033149171
217,EOS-USD,EOS,0.7623,2.22609628536945
218,EOS-USDC,EOS,0.7623,2.22609628536945
219,DOGE-EUR,Dogecoin,0.1969,1.59958720330237
220,LRC-USD,Loopring,0.0995,0.50505050505051
221,LRC-USDC,Loopring,0.0995,0.50505050505051
222,PNG-USD,Pangolin,0.19585,17.31057202755316
223,PNG-USDC,Pangolin,0.19585,17.31057202755316
224,UNI-GBP,Uniswap,4.72,5.82959641255605
225,RARE-USD,SuperRare,0.0622,4.71380471380471
226,RARE-USDC,SuperRare,0.0622,4.71380471380471
227,ENS-USDC,Ethereum Name Service,21.8,-0.13742556115437
228,ENS-USD,Ethereum Name Service,21.8,-0.13742556115437
229,PRCL-USDC,Parcl,0.1033,2.78606965174129
230,PRCL-USD,Parcl,0.1033,2.78606965174129
231,AKT-USDC,Akash Network,1.516,2.36326806212019
232,AKT-USD,Akash Network,1.516,2.36326806212019
233,ETHFI-USDC,ether.fi,1.205,2.5531914893617
234,ETHFI-USD,ether.fi,1.205,2.5531914893617
235,JTO-USDC,Jito,1.9394,1.02620201073084
236,JTO-USD,Jito,1.9394,1.02620201073084
237,SYN-USDC,Synapse,0.235,8.7962962962963
238,SYN-USD,Synapse,0.235,8.7962962962963
