start,low,high,open,close,volume,gartleypattern_signal,peak,trough,gartley_x,gartley_a,gartley_b,gartley_c,gartley_d,signal
2025-05-31 00:00:00,2504.4,2541.78,2531.92,2521.14,3085.60948021,0,,,,,,,,0
2025-05-31 01:00:00,2476.84,2528.93,2520.83,2493.84,6655.67904187,0,,,,,,,,0
2025-05-31 02:00:00,2486.55,2517.99,2493.8,2491.1,4080.50855037,0,,2491.1,2491.1,,,,,0
2025-05-31 03:00:00,2485.95,2518.82,2491.43,2514.64,2704.42090307,0,,,,,,,,0
2025-05-31 04:00:00,2505.24,2527.84,2514.63,2523.36,1596.94681442,0,,,,,,,,0
2025-05-31 05:00:00,2512.61,2527.96,2523.45,2513.35,1638.29310004,0,,,,2513.35,,,,0
2025-05-31 06:00:00,2512.85,2527.47,2513.29,2522.54,1124.38115742,0,,,,,,,,0
2025-05-31 07:00:00,2515.62,2527.03,2522.52,2522.35,915.21584119,0,,,,,,,,0
2025-05-31 08:00:00,2516.93,2531.2,2522.21,2525.49,1487.7171706,0,2525.49,,,,,,,0
2025-05-31 09:00:00,2518.38,2530.55,2525.41,2524.02,690.2456229,0,,,,,2524.02,,,0
2025-05-31 10:00:00,2509.43,2539.16,2524.22,2521.12,1869.27001783,0,,,,,,2521.12,,0
2025-05-31 11:00:00,2510.55,2523.54,2521.35,2520.64,873.23427863,0,,2520.64,,,,,,0
2025-05-31 12:00:00,2516.54,2539.27,2520.6,2538.94,2191.04706867,0,,,,,,,,0
2025-05-31 13:00:00,2527.74,2549.0,2538.74,2534.3,3959.5871867,0,,,,,,,,0
2025-05-31 14:00:00,2532.32,2545.81,2534.15,2543.74,2108.0660438,0,2543.74,,,,,,,0
2025-05-31 15:00:00,2533.67,2551.67,2543.73,2537.59,2839.19393896,-1,,,2537.59,,,,2537.59,-1
2025-05-31 16:00:00,2534.1,2549.26,2537.47,2542.18,2524.43005602,0,,,,2542.18,,,,0
2025-05-31 17:00:00,2524.81,2542.87,2542.0,2529.06,1649.72297182,0,,2529.06,,,,,,0
2025-05-31 18:00:00,2526.99,2543.75,2528.66,2541.24,1442.84272506,0,,,,,,,,0
2025-05-31 19:00:00,2537.58,2544.52,2541.28,2538.8,968.50058698,0,,,,,,,,0
2025-05-31 20:00:00,2532.96,2543.87,2538.79,2543.03,1164.8416434,0,,,,,,,,0
2025-05-31 21:00:00,2540.49,2551.59,2543.2,2544.63,2009.13523537,0,2544.63,,,,2544.63,,,0
2025-05-31 22:00:00,2531.62,2546.17,2544.63,2531.82,1443.94550361,0,,,,,,,,0
2025-05-31 23:00:00,2525.73,2549.4,2531.74,2529.31,2347.30078541,0,,,,,,,,0
2025-06-01 00:00:00,2516.48,2530.05,2529.31,2527.16,2293.39670936,0,,,,,,,,0
2025-06-01 01:00:00,2494.36,2531.51,2527.08,2509.11,2988.9342518,0,,,,,,,,0
2025-06-01 02:00:00,2495.16,2514.99,2508.71,2508.48,1857.9716376,0,,2508.48,,,,,,0
2025-06-01 03:00:00,2494.01,2520.0,2508.58,2514.61,2340.9144642,0,,,,,,,,0
2025-06-01 04:00:00,2512.66,2528.17,2514.55,2523.44,1153.51225195,0,2523.44,,,,,,,0
2025-06-01 05:00:00,2516.95,2528.52,2523.45,2519.95,895.93266395,0,,,,,,2519.95,,0
2025-06-01 06:00:00,2510.52,2520.83,2519.8,2514.0,686.38533504,0,,,,,,,,0
2025-06-01 07:00:00,2507.26,2517.17,2513.84,2510.28,804.58741923,0,,,,,,,,0
2025-06-01 08:00:00,2500.25,2512.01,2510.09,2507.24,950.75729785,0,,,,,,,,0
2025-06-01 09:00:00,2478.77,2511.85,2507.28,2493.78,2498.71162973,0,,,,,,,,0
2025-06-01 10:00:00,2488.12,2498.12,2493.48,2495.14,1391.92719434,0,,,,,,,,0
2025-06-01 11:00:00,2492.08,2504.41,2494.97,2498.91,1247.76771296,-1,2498.91,,,,,,2498.91,-1
2025-06-01 12:00:00,2470.5,2503.2,2498.89,2485.63,3442.23728122,0,,2485.63,,,,,,0
2025-06-01 13:00:00,2481.94,2500.0,2485.54,2495.21,1637.96479331,0,,,,,,,,0
2025-06-01 14:00:00,2495.13,2520.39,2495.35,2510.93,2795.56249507,0,,,,,,,,0
2025-06-01 15:00:00,2504.89,2526.6,2510.84,2524.67,2184.4466703,0,,,,,,,,0
2025-06-01 16:00:00,2522.11,2550.0,2524.31,2540.43,4713.8090606,0,,,,,,,,0
2025-06-01 17:00:00,2534.78,2548.55,2540.38,2540.46,2460.99356473,0,,,,,,,,0
2025-06-01 18:00:00,2494.93,2540.56,2540.44,2521.35,4262.86627957,0,,2521.35,,,,,,0
2025-06-01 19:00:00,2513.01,2528.6,2521.4,2527.73,2542.06898455,0,,,,,,,,0
2025-06-01 20:00:00,2520.76,2538.66,2527.64,2526.99,2201.96711182,0,,,,,,,,0
2025-06-01 21:00:00,2525.77,2542.41,2526.74,2540.66,1767.35808536,0,2540.66,,,,,,,0
2025-06-01 22:00:00,2533.87,2548.95,2540.73,2536.29,2947.43066199,0,,,,,,,,0
2025-06-01 23:00:00,2534.49,2546.99,2536.29,2540.38,3085.56356763,0,,,,,,,,0
2025-06-02 00:00:00,2527.92,2542.17,2540.4,2535.61,4126.56064917,0,,,,,,,,0
2025-06-02 01:00:00,2526.35,2543.62,2535.71,2527.34,1660.50799718,0,,,,,,,,0
2025-06-02 02:00:00,2508.65,2528.84,2527.34,2509.32,2575.06962128,0,,,,,,,,0
2025-06-02 03:00:00,2486.31,2511.42,2509.32,2497.6,4742.87610762,0,,,,,,,,0
2025-06-02 04:00:00,2488.56,2502.76,2497.41,2493.96,2480.70987202,0,,2493.96,,,,,,0
2025-06-02 05:00:00,2484.29,2498.88,2493.96,2494.12,1107.07297834,0,,,,,,,,0
2025-06-02 06:00:00,2485.79,2501.06,2494.08,2495.85,1857.8883301,0,,,,,,,,0
2025-06-02 07:00:00,2495.6,2514.66,2495.88,2508.23,1297.1880944,0,2508.23,,,,,,,0
