start,low,high,open,close,volume,gartleypattern_signal,peak,trough,fibonacciretracement_signal,signal
2025-05-30 21:00:00,3.3193,3.3499,3.3222,3.3389,149933.3,0,,,0,0
2025-05-30 21:30:00,3.3063,3.3465,3.3382,3.3153,184220.4,0,,,0,0
2025-05-30 22:00:00,3.2751,3.3198,3.3151,3.2785,449890.7,0,,,0,0
2025-05-30 22:30:00,3.2011,3.286,3.2788,3.2049,1514183.8,0,,,-1,-1
2025-05-30 23:00:00,3.1721,3.2374,3.2047,3.2194,1039858.4,0,3.2194,,0,0
2025-05-30 23:30:00,3.1852,3.228,3.2195,3.1894,723609.9,0,,,0,0
2025-05-31 00:00:00,3.1082,3.2039,3.1891,3.1248,1980353.1,0,,3.1248,-1,-1
2025-05-31 00:30:00,3.1246,3.1892,3.1255,3.1399,499343.1,0,,,0,0
2025-05-31 01:00:00,3.1206,3.1748,3.1399,3.1331,424351.1,0,,,0,0
2025-05-31 01:30:00,3.0826,3.1449,3.1331,3.1177,815578.6,0,,,0,0
2025-05-31 02:00:00,3.101,3.1599,3.1172,3.131,250212.5,0,3.131,,0,0
2025-05-31 02:30:00,3.0875,3.131,3.1297,3.0937,803072.8,0,,,0,0
2025-05-31 03:00:00,3.055,3.107,3.0942,3.0919,1143680.5,0,,3.0919,0,0
2025-05-31 03:30:00,3.0898,3.1176,3.0923,3.1076,420229.3,0,,,0,0
2025-05-31 04:00:00,3.0772,3.1403,3.1079,3.1353,617868.7,0,,,1,1
2025-05-31 04:30:00,3.1336,3.1615,3.1346,3.1588,486280.8,0,3.1588,,0,0
2025-05-31 05:00:00,3.1381,3.1695,3.1588,3.1436,275144.6,0,,,0,0
2025-05-31 05:30:00,3.1304,3.1589,3.1437,3.1304,109785.7,0,,3.1304,0,0
2025-05-31 06:00:00,3.1299,3.1706,3.1322,3.1678,82852.0,0,,,0,0
2025-05-31 06:30:00,3.1611,3.1878,3.1661,3.1748,228921.2,0,,,0,0
2025-05-31 07:00:00,3.158,3.1796,3.1753,3.1753,79558.8,0,,,0,0
2025-05-31 07:30:00,3.1705,3.19,3.1742,3.1789,196471.7,0,3.1789,,0,0
2025-05-31 08:00:00,3.1598,3.1871,3.1791,3.1629,68676.2,0,,3.1629,0,0
2025-05-31 08:30:00,3.1473,3.1754,3.163,3.1714,95784.9,0,,,0,0
2025-05-31 09:00:00,3.1386,3.178,3.1714,3.1425,120786.8,0,,,0,0
2025-05-31 09:30:00,3.1391,3.1511,3.1423,3.1477,154460.4,0,,,0,0
2025-05-31 10:00:00,3.134,3.1659,3.1457,3.1415,174406.1,0,,,0,0
2025-05-31 10:30:00,3.1182,3.1556,3.1416,3.1466,160783.0,0,3.1466,,0,0
2025-05-31 11:00:00,3.1257,3.1478,3.1471,3.1307,216104.3,0,,3.1307,-1,-1
2025-05-31 11:30:00,3.1224,3.1396,3.13,3.1346,139084.1,0,,,0,0
2025-05-31 12:00:00,3.1296,3.1705,3.1336,3.1533,357001.2,0,,,1,1
2025-05-31 12:30:00,3.1507,3.1849,3.1533,3.1847,311259.2,0,,,0,0
2025-05-31 13:00:00,3.1799,3.217,3.1839,3.1862,517843.7,0,3.1862,,0,0
2025-05-31 13:30:00,3.1698,3.2018,3.1862,3.1845,159881.5,0,,3.1845,0,0
2025-05-31 14:00:00,3.1808,3.2487,3.1845,3.2435,1058694.2,0,,,1,1
2025-05-31 14:30:00,3.2359,3.2619,3.244,3.2599,619640.0,0,,,0,0
2025-05-31 15:00:00,3.2442,3.2824,3.2593,3.277,472654.6,0,,,0,0
2025-05-31 15:30:00,3.2505,3.3153,3.2774,3.2568,1187931.1,0,,,-1,-1
2025-05-31 16:00:00,3.242,3.3098,3.2562,3.2962,647833.1,0,3.2962,,0,0
2025-05-31 16:30:00,3.2736,3.3151,3.2948,3.2812,902052.9,0,,,0,0
2025-05-31 17:00:00,3.2652,3.2832,3.2822,3.2745,168176.5,0,,,0,0
2025-05-31 17:30:00,3.2302,3.296,3.276,3.2367,958534.4,0,,3.2367,-1,-1
2025-05-31 18:00:00,3.233,3.2749,3.2354,3.252,243421.3,0,,,0,0
2025-05-31 18:30:00,3.2394,3.2575,3.2519,3.2552,239236.3,0,,,0,0
2025-05-31 19:00:00,3.2549,3.2791,3.2549,3.2672,89635.3,0,3.2672,,0,0
2025-05-31 19:30:00,3.2542,3.2691,3.2665,3.2576,72211.6,0,,,0,0
2025-05-31 20:00:00,3.2469,3.2604,3.2571,3.2582,100531.2,0,,,0,0
2025-05-31 20:30:00,3.2522,3.2845,3.2575,3.276,178501.8,0,,,1,1
2025-05-31 21:00:00,3.2644,3.2936,3.2765,3.269,280381.3,0,,3.269,-1,-1
2025-05-31 21:30:00,3.2691,3.2918,3.2705,3.2805,121208.8,0,3.2805,,0,0
2025-05-31 22:00:00,3.2628,3.2863,3.281,3.2688,113022.9,0,,,0,0
2025-05-31 22:30:00,3.2562,3.2727,3.27,3.259,54424.9,0,,,0,0
2025-05-31 23:00:00,3.2485,3.2866,3.2585,3.258,288507.4,0,,,0,0
2025-05-31 23:30:00,3.245,3.259,3.2585,3.2479,87617.8,0,,,0,0
2025-06-01 00:00:00,3.2195,3.2494,3.2477,3.2254,321535.6,0,,,0,0
2025-06-01 00:30:00,3.2233,3.248,3.2246,3.246,65814.8,0,3.246,,0,0
2025-06-01 01:00:00,3.236,3.2664,3.2455,3.2412,136533.4,0,,,0,0
2025-06-01 01:30:00,3.2108,3.244,3.2415,3.2234,166791.3,0,,3.2234,0,0
2025-06-01 02:00:00,3.1977,3.2328,3.222,3.2289,222796.3,0,,,0,0
2025-06-01 02:30:00,3.2288,3.257,3.2288,3.243,407303.2,0,,,0,0
2025-06-01 03:00:00,3.2211,3.247,3.2417,3.2371,214523.5,0,,,0,0
2025-06-01 03:30:00,3.237,3.2721,3.237,3.2679,266616.8,0,,,0,0
2025-06-01 04:00:00,3.254,3.278,3.268,3.2747,76331.6,0,,,0,0
2025-06-01 04:30:00,3.2739,3.2925,3.2739,3.2784,131317.1,0,,,0,0
2025-06-01 05:00:00,3.2765,3.2943,3.2789,3.2863,74485.3,0,3.2863,,0,0
2025-06-01 05:30:00,3.2644,3.2886,3.2856,3.2774,107291.2,0,,,0,0
2025-06-01 06:00:00,3.257,3.2783,3.2766,3.273,124739.4,0,,,0,0
2025-06-01 06:30:00,3.2512,3.2857,3.2726,3.2541,132154.5,0,,3.2541,-1,-1
2025-06-01 07:00:00,3.24,3.2619,3.2535,3.259,132906.6,0,,,0,0
2025-06-01 07:30:00,3.2458,3.2596,3.2596,3.2535,38301.6,0,,,0,0
2025-06-01 08:00:00,3.2435,3.2619,3.2537,3.25,115367.0,0,,,0,0
2025-06-01 08:30:00,3.2445,3.267,3.2496,3.267,62302.6,0,3.267,,0,0
2025-06-01 09:00:00,3.2162,3.2761,3.2675,3.2211,456856.8,0,,,0,0
2025-06-01 09:30:00,3.1865,3.2215,3.2215,3.21,384399.4,0,,3.21,0,0
2025-06-01 10:00:00,3.2016,3.235,3.2103,3.231,527288.2,0,,,0,0
2025-06-01 10:30:00,3.2135,3.238,3.231,3.2348,246246.3,0,,,0,0
2025-06-01 11:00:00,3.2262,3.2616,3.2346,3.2569,153219.6,0,,,0,0
2025-06-01 11:30:00,3.2475,3.2681,3.2565,3.258,121722.2,0,3.258,,0,0
2025-06-01 12:00:00,3.2466,3.268,3.2585,3.2545,137609.6,0,,,0,0
2025-06-01 12:30:00,3.2254,3.2595,3.2548,3.2439,536966.5,0,,3.2439,0,0
2025-06-01 13:00:00,3.242,3.2807,3.2435,3.27,152234.5,0,,,0,0
2025-06-01 13:30:00,3.2695,3.2923,3.2695,3.2746,291849.0,0,,,1,1
2025-06-01 14:00:00,3.2754,3.311,3.2754,3.3071,477151.4,0,3.3071,,0,0
2025-06-01 14:30:00,3.29,3.3187,3.3075,3.2922,419113.2,0,,,0,0
2025-06-01 15:00:00,3.2767,3.3017,3.2927,3.2985,248665.1,0,,,0,0
2025-06-01 15:30:00,3.2833,3.3039,3.2995,3.2908,168757.2,0,,3.2908,0,0
2025-06-01 16:00:00,3.284,3.3433,3.2912,3.301,789526.0,0,,,0,0
